cv19_activos,cv19_curados,cv19_fallecidos,cv19_total_casos,fecha_datos,isla,municipio,poblacion
6.0,273.0,2.0,276.0,08/06/2021,GRAN CANARIA,Santa Lucía de Tirajana,73328
5.0,70.0,,56.0,08/06/2021,TENERIFE,Güímar,20190
266.0,3035.0,68.0,2783.0,08/06/2021,TENERIFE,La Laguna,157503
1.0,63.0,,46.0,08/06/2021,LA PALMA,Breña Alta,7204
,11.0,,11.0,08/06/2021,TENERIFE,Arafo,5551
1.0,13.0,,14.0,08/06/2021,GRAN CANARIA,La Aldea de San Nicolás,7504
4.0,132.0,1.0,126.0,08/06/2021,TENERIFE,Guía de Isora,21368
,49.0,,47.0,08/06/2021,LANZAROTE,Teguise,22342
2.0,42.0,,42.0,08/06/2021,GRAN CANARIA,Santa Brígida,18263
5.0,86.0,,76.0,08/06/2021,TENERIFE,Candelaria,27985
2.0,20.0,,21.0,08/06/2021,GRAN CANARIA,Teror,12519
12.0,121.0,1.0,125.0,08/06/2021,FUERTEVENTURA,Pájara,21093
30.0,447.0,3.0,375.0,08/06/2021,TENERIFE,Granadilla de Abona,50146
,2.0,,2.0,08/06/2021,TENERIFE,Buenavista del Norte,4778
21.0,479.0,4.0,404.0,08/06/2021,TENERIFE,Arona,81216
55.0,758.0,7.0,798.0,08/06/2021,FUERTEVENTURA,Puerto del Rosario,40753
2.0,12.0,,14.0,08/06/2021,GRAN CANARIA,Santa María de Guía,13850
1.0,14.0,,14.0,08/06/2021,LA PALMA,El Paso,7622
602.0,6269.0,70.0,6246.0,08/06/2021,TENERIFE,Santa Cruz de Tenerife,207312
1.0,43.0,,24.0,08/06/2021,LA GOMERA,San Sebastián de La Gomera,9093
7.0,76.0,1.0,77.0,08/06/2021,TENERIFE,El Rosario,17370
,19.0,,17.0,08/06/2021,LA PALMA,Villa de Mazo,4843
,2.0,,2.0,08/06/2021,GRAN CANARIA,Tejeda,1909
,12.0,,11.0,08/06/2021,LANZAROTE,Tinajo,6279
7.0,52.0,,49.0,08/06/2021,TENERIFE,San Miguel de Abona,20886
7.0,229.0,4.0,219.0,08/06/2021,GRAN CANARIA,San Bartolomé de Tirajana,53443
12.0,190.0,1.0,171.0,08/06/2021,TENERIFE,Puerto de La Cruz,30468
