fecha_datos,cv19_activos,isla,municipio,poblacion,cv19_total_casos,cv19_fallecidos,cv19_curados
16/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
17/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
18/01/2021,15,LA PALMA,LA PALMA - ALL,82671,,,
19/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
20/01/2021,3,LA PALMA,LA PALMA - ALL,82671,,,
21/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
22/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
23/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
24/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
25/01/2021,5,LA PALMA,LA PALMA - ALL,82671,,,
26/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
27/01/2021,2,LA PALMA,LA PALMA - ALL,82671,,,
28/01/2021,2,LA PALMA,LA PALMA - ALL,82671,,,
29/01/2021,3,LA PALMA,LA PALMA - ALL,82671,,,
30/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
31/01/2021,3,LA PALMA,LA PALMA - ALL,82671,,,
01/02/2021,3,LA PALMA,LA PALMA - ALL,82671,,,
02/02/2021,5,LA PALMA,LA PALMA - ALL,82671,,,
03/02/2021,5,LA PALMA,LA PALMA - ALL,82671,,,
04/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
05/02/2021,15,LA PALMA,LA PALMA - ALL,82671,,,
06/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
07/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
08/02/2021,21,LA PALMA,LA PALMA - ALL,82671,,,
09/02/2021,22,LA PALMA,LA PALMA - ALL,82671,,,
10/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
11/02/2021,26,LA PALMA,LA PALMA - ALL,82671,,,
12/02/2021,26,LA PALMA,LA PALMA - ALL,82671,,,
13/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
14/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
15/02/2021,33,LA PALMA,LA PALMA - ALL,82671,,,
16/02/2021,26,LA PALMA,LA PALMA - ALL,82671,,,
17/02/2021,22,LA PALMA,LA PALMA - ALL,82671,,,
18/02/2021,22,LA PALMA,LA PALMA - ALL,82671,,,
19/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
20/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
21/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
22/02/2021,17,LA PALMA,LA PALMA - ALL,82671,,,
23/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
24/02/2021,15,LA PALMA,LA PALMA - ALL,82671,,,
25/02/2021,17,LA PALMA,LA PALMA - ALL,82671,,,
26/02/2021,25,LA PALMA,LA PALMA - ALL,82671,,,
27/02/2021,23,LA PALMA,LA PALMA - ALL,82671,,,
28/02/2021,,LA PALMA,LA PALMA - ALL,82671,,,
01/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
02/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
03/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
04/03/2021,36,LA PALMA,LA PALMA - ALL,82671,,,
05/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
06/03/2021,37,LA PALMA,LA PALMA - ALL,82671,,,
07/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
08/03/2021,34,LA PALMA,LA PALMA - ALL,82671,,,
09/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
10/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
11/03/2021,31,LA PALMA,LA PALMA - ALL,82671,,,
12/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
13/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
14/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
15/03/2021,29,LA PALMA,LA PALMA - ALL,82671,,,
16/03/2021,25,LA PALMA,LA PALMA - ALL,82671,,,
17/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
18/03/2021,21,LA PALMA,LA PALMA - ALL,82671,,,
19/03/2021,21,LA PALMA,LA PALMA - ALL,82671,,,
20/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
21/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
22/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
23/03/2021,13,LA PALMA,LA PALMA - ALL,82671,,,
24/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
25/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
26/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
27/03/2021,16,LA PALMA,LA PALMA - ALL,82671,,,
28/03/2021,21,LA PALMA,LA PALMA - ALL,82671,,,
29/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
30/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
31/03/2021,,LA PALMA,LA PALMA - ALL,82671,,,
01/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
02/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
03/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
04/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
05/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
06/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
07/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
08/04/2021,22,LA PALMA,LA PALMA - ALL,82671,,,
09/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
10/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
11/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
12/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
13/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
14/04/2021,12,LA PALMA,LA PALMA - ALL,82671,,,
15/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
16/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
17/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
18/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
19/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
20/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
21/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
22/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
23/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
24/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
25/04/2021,9,LA PALMA,LA PALMA - ALL,82671,,,
26/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
27/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
28/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
29/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
30/04/2021,,LA PALMA,LA PALMA - ALL,82671,,,
01/05/2021,,LA PALMA,LA PALMA - ALL,82671,,,
02/05/2021,34,LA PALMA,LA PALMA - ALL,82671,,,
03/05/2021,,LA PALMA,LA PALMA - ALL,82671,,,
04/05/2021,,LA PALMA,LA PALMA - ALL,82671,,,
05/05/2021,,LA PALMA,LA PALMA - ALL,82671,,,
06/05/2021,,LA PALMA,LA PALMA - ALL,82671,,,
07/05/2021,,LA PALMA,LA PALMA - ALL,82671,,,
08/05/2021,6,LA PALMA,LA PALMA - ALL,82671,,,
09/05/2021,,LA PALMA,LA PALMA - ALL,82671,,,
10/05/2021,,LA PALMA,LA PALMA - ALL,82671,,,
11/05/2021,,LA PALMA,LA PALMA - ALL,82671,,,
12/05/2021,,LA PALMA,LA PALMA - ALL,82671,,,
